# 
# cfe-sb-stats-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
25:  Peak In Use,       276,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
26:  Pipe ID,           278,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
26:  Depth,             280,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
26:  In Use,            282,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
26:  Peak In Use,       284,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
27:  Pipe ID,           286,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
27:  Depth,             288,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
27:  In Use,            290,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
27:  Peak In Use,       292,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
28:  Pipe ID,           294,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
28:  Depth,             296,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
28:  In Use,            298,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
28:  Peak In Use,       300,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
29:  Pipe ID,           302,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
29:  Depth,             304,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
29:  In Use,            306,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
29:  Peak In Use,       308,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
30:  Pipe ID,           310,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
30:  Depth,             312,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
30:  In Use,            314,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
30:  Peak In Use,       316,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
31:  Pipe ID,           318,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
31:  Depth,             320,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
31:  In Use,            322,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
31:  Peak In Use,       324,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
32:  Pipe ID,           326,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
32:  Depth,             328,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
32:  In Use,            330,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
32:  Peak In Use,       332,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
33:  Pipe ID,           334,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
33:  Depth,             336,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
33:  In Use,            338,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
33:  Peak In Use,       340,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
34:  Pipe ID,           342,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
34:  Depth,             344,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
34:  In Use,            346,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
34:  Peak In Use,       348,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
35:  Pipe ID,           350,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
35:  Depth,             352,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
35:  In Use,            354,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
35:  Peak In Use,       356,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
36:  Pipe ID,           358,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
36:  Depth,             360,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
36:  In Use,            362,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
36:  Peak In Use,       364,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
37:  Pipe ID,           366,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
37:  Depth,             368,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
37:  In Use,            370,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
37:  Peak In Use,       372,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
38:  Pipe ID,           374,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
38:  Depth,             376,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
38:  In Use,            378,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
38:  Peak In Use,       380,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
39:  Pipe ID,           382,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
39:  Depth,             384,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
39:  In Use,            386,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
39:  Peak In Use,       388,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
40:  Pipe ID,           390,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
40:  Depth,             392,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
40:  In Use,            394,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
40:  Peak In Use,       396,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
41:  Pipe ID,           398,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
41:  Depth,             400,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
41:  In Use,            402,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
41:  Peak In Use,       404,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
42:  Pipe ID,           406,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
42:  Depth,             408,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
42:  In Use,            410,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
42:  Peak In Use,       412,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
43:  Pipe ID,           414,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
43:  Depth,             416,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
43:  In Use,            418,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
43:  Peak In Use,       420,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
44:  Pipe ID,           422,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
44:  Depth,             424,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
44:  In Use,            426,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
44:  Peak In Use,       428,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
45:  Pipe ID,           430,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
45:  Depth,             432,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
45:  In Use,            434,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
45:  Peak In Use,       436,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
46:  Pipe ID,           438,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
46:  Depth,             440,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
46:  In Use,            442,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
46:  Peak In Use,       444,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
47:  Pipe ID,           446,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
47:  Depth,             448,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
47:  In Use,            450,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
47:  Peak In Use,       452,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
48:  Pipe ID,           454,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
48:  Depth,             456,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
48:  In Use,            458,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
48:  Peak In Use,       460,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
49:  Pipe ID,           462,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
49:  Depth,             464,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
49:  In Use,            466,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
49:  Peak In Use,       468,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
50:  Pipe ID,           470,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
